car_id,car_name,car_license_plate
1,Fiesta,WS47INO
2,LeBaron,TS67WXX
3,V90,JM45GXU
4,Ranchero,BC63NIB
5,1,GT13RCB
6,Grand Caravan,RI05WFF
7,2,ZI09WRA
8,Explorer,KY97UCL
9,Accord,MZ65OPM
10,XC90,ME82EVD
11,Volt,ZO58CQW
12,Civic,DL24MCD
13,Element,TD10NSS
14,Model Y,GL63TZQ
15,Aventador,XT38EML
16,Camaro,DP54HDX
17,Escalade,VN39FGX
18,Expedition,NI07UOC
19,Colorado,YQ13ABJ
20,Model Y,KW19UNP
21,Land Cruiser,CI71GFN
22,Focus,NL79AFU
23,Cruze,QD55OKA
24,Spyder,FJ21YGN
25,Ranchero,CC55LLJ
26,Taurus,LM84AUB
27,CTS,CC61ZXU
28,Camry,YI32YCQ
29,Focus,CY54FPT
30,Element,RW17XGK
31,CX-9,FM34LCD
32,CTS,LJ83PEO
33,Spyder,HQ28WBI
34,F-150,BG39USS
35,CX-9,ZT62MFW
36,Charger,MK90ABZ
37,Ranchero,LE98JQQ
38,Spyder,ZE36DFF
39,Model S,EP34MOY
40,Accord,WG86BZM
41,Focus,XJ28KWO
42,911,EN35HBZ
43,CTS,HL65KTK
44,CTS,BS34TJJ
45,A4,UI27WNO
46,Jetta,FC28HZR
47,911,NF48ULG
48,CTS,HO08KOB
49,V90,CW95ZWN
50,A8,AR01OBY
51,2,AB26CLL
52,Explorer,WN32YKX
53,Focus,YQ44KUY
54,PT Cruiser,TY69WND
55,2,FN28BAG
56,Grand Caravan,RZ90OLP
57,LeBaron,VQ35YPP
58,Fortwo,ZV96XBD
59,Grand Cherokee,RX06RYI
60,Fiesta,MQ42UWO
61,Focus,AM83MVX
62,Land Cruiser,ON53UTY
63,ATS,CS85QJG
64,Grand Cherokee,PV62PCK
65,Prius,JW25KPZ
66,1,BO13AFX
67,Colorado,PU22PDJ
68,Colorado,XL28HRB
69,Impala,ZG95EKB
70,Fiesta,TJ20BKN
71,Camaro,JN44UUV
72,Expedition,OH25YBE
73,A8,UV65RTU
74,PT Cruiser,RF21FRB
75,El Camino,AU35TJR
76,Corvette,KU81MZG
77,Expedition,AG47MCI
78,Altima,MI49QJF
79,Focus,EG19ZOF
80,Escalade,EA14CJT
81,Fortwo,JG92WTN
82,Element,VL61XKV
83,Model T,WR69EUE
84,Ranchero,UH16SNO
85,Mercielago,JZ29SVE
86,Beetle,IW05UNS
87,Focus,VM51LIE
88,Element,YU16CSR
89,Camry,QU48QIT
90,Escalade,PR45VPI
91,Ranchero,BJ00DZM
92,Wrangler,AK80OAS
93,Model X,HI65MEN
94,1,VZ22PXZ
95,2,IK77LTI
96,Camaro,BP74YBE
97,Charger,PM23EAY
98,Fiesta,AY69VXI
99,Civic,SJ47QCH
100,XC90,LB59GIR
101,Mustang,AT88RNG
102,Challenger,JK00UPJ
103,Alpine,MQ60UPA
104,LeBaron,GW26NLU
105,Land Cruiser,TP13WMB
106,Model Y,RD57FGJ
107,Taurus,MW18RTC
108,Accord,GH72CEP
109,Explorer,DG33DPV
110,Escalade,GE14OPG
111,Prius,SC64QEX
112,Countach,MK60JUI
113,Grand Caravan,FF19RVT
114,Wrangler,TE79RPG
115,Grand Caravan,VP91SMV
116,Fortwo,ZT60ZQL
117,Grand Cherokee,UY48GUG
118,Malibu,DR18DEP
119,ATS,UA32ZKH
120,Model Y,BJ33XNW
121,Volt,NP19BDF
122,Malibu,WM35CTU
123,Impala,XL73XDI
124,1,YA65ZYZ
125,Camry,HZ75SCL
126,Accord,UN78MHU
127,PT Cruiser,CC00VLC
128,Taurus,VJ29AXR
129,Challenger,GA62BQQ
130,Model X,IJ52ABK
131,CX-9,IR10AFH
132,Model T,WL17YFZ
133,El Camino,JG67YMK
134,LeBaron,DZ95QYA
135,Escalade,RD70VXK
136,F-150,VT69ZQO
137,El Camino,QE82TIP
138,Sentra,UM23NRL
139,911,DI36PZR
140,Corvette,XO45JWJ
141,CX-9,OP24PPN
142,A4,WA59QYZ
143,Ranchero,JK46HGB
144,Land Cruiser,QI55HUT
145,Prius,FR73VJZ
146,Ranchero,WS35CLQ
147,El Camino,BQ06ZDW
148,Civic,CI80MZX
149,Alpine,QT10OFO
150,CX-9,FA31LMY
151,El Camino,ZU17STQ
152,Beetle,LR14JWT
153,Challenger,MX23BQO
154,El Camino,ZS56BST
155,Taurus,NG79DQM
156,XTS,VO65ZSV
157,Focus,MD45IUU
158,Land Cruiser,CH68RBZ
159,CTS,BM99XDO
160,Prius,PX58GTH
161,Roadster,RP65CFL
162,Golf,DW72BXQ
163,Fiesta,PY46XBO
164,Ranchero,BW54QML
165,Cruze,CF24PQF
166,Fiesta,MD11PFO
167,Model 3,AM91KTT
168,Durango,OK78PAY
169,Accord,OD87OVW
170,Model 3,WQ70GZM
171,El Camino,EQ34YKO
172,Wrangler,VR03QHF
173,911,GO76PHL
174,Durango,YH78QQH
175,Alpine,OM52IIE
176,CX-9,HG83IKX
177,Volt,CP57TPH
178,Prius,XW73UIW
179,A8,YM75MKH
180,Fiesta,DB74SOT
181,Camaro,KD83RBT
182,Wrangler,MX15DKZ
183,Grand Caravan,LK65NWN
184,Mustang,LU51MBY
185,Alpine,KX55WAI
186,Spyder,YU78WUQ
187,Element,OW70ICH
188,Mustang,FD02URI
189,Roadster,BJ46MMA
190,Silverado,LE08QOT
191,Camaro,AS19PDE
192,Volt,AU79JME
193,Alpine,DI80APG
194,CX-9,BO61IUW
195,CX-9,HO90HOW
196,Silverado,AF05KDN
197,Mustang,PF34KOH
198,Accord,EY22GNF
199,F-150,LB17SCS
200,Element,XX99HVX
201,Mercielago,EC78XWC
202,Explorer,FW82QTP
203,Model T,EN58VDU
204,F-150,QP75WSP
205,Grand Cherokee,HV62PAW
206,Mustang,KV87ZQY
207,Wrangler,TQ30YTR
208,Wrangler,LE51SDN
209,Fiesta,CG33IRM
210,LeBaron,LW97EZB
211,Camaro,RK01HXQ
212,Accord,EY70QJI
213,2,CB67WRT
214,CTS,EH73KSU
215,A8,KL75XVL
216,Cruze,ZX46ITQ
217,Mustang,HV51UYS
218,Volt,FA18LQC
219,2,MK38ATL
220,Corvette,YR82JRB
221,XC90,HY77BOW
222,Impala,EO40KHU
223,Durango,QR27PRX
224,Malibu,JF56DJL
225,Cruze,YU78YEA
226,Model 3,UU49SKE
227,Spyder,OB71UDB
228,CX-9,LO14MGJ
229,Jetta,PF90BCO
230,Grand Cherokee,WD38OIE
231,Camaro,ZB88QCB
232,Explorer,IS54ZNE
233,A4,KW91BMG
234,Camaro,JO44OJY
235,Volt,WE29IYS
236,Colorado,UU79ELP
237,Camry,GE03AXF
238,Cruze,DP62XUG
239,Accord,UQ04RKY
240,Focus,IE84MUD
241,PT Cruiser,HI96UEG
242,Ranchero,SA36UHR
243,Impala,IN19MSI
244,Land Cruiser,QC87DEY
245,El Camino,CN91NMW
246,CX-9,YQ71DEC
247,CX-9,KB91BMY
248,Taurus,XG21DNV
249,Countach,VG01TUX
250,Model T,JN17QTW
251,Expedition,DD21ZEI
252,Mustang,ZE77FNT
253,Roadster,YM22PMH
254,Countach,VJ96TZW
255,Beetle,YA57FYU
256,Mercielago,GS09TWP
257,Escalade,QU24TCO
258,Aventador,TH37DET
259,Focus,DY63OJO
260,Roadster,TP44UYI
261,PT Cruiser,RH65INK
262,Grand Caravan,XE99EFN
263,Model X,ZC50DCW
264,Impala,OG54OUE
265,Mercielago,BA68CDI
266,Taurus,NM41DFJ
267,Grand Caravan,FC79FOI
268,Land Cruiser,MW45UOC
269,Sentra,BA72LSR
270,Volt,TY44OWD
271,Volt,WI23UGS
272,2,QV67PFR
273,Model Y,HV67PAL
274,Grand Caravan,CR55ZNI
275,CTS,WF23JDI
276,Wrangler,HP03WTE
277,Prius,LA57NFS
278,A4,VC67TTY
279,Model S,GK14LOE
280,ATS,WX11YHM
281,CX-9,SR91DOT
282,Camaro,NT33WNM
283,Taurus,BU11QQA
284,Altima,KU16OUE
285,A8,YX89VBI
286,Aventador,FJ89KWO
287,Golf,DJ99HLS
288,Golf,HW18HED
289,ATS,MH70KFT
290,F-150,SH39WOK
291,Colorado,GS38VAI
292,Cruze,SO26HMC
293,Explorer,SU17VCD
294,Escalade,QR11ILL
295,Model S,BD43PDV
296,CX-9,GF31LOC
297,Model Y,CQ92BFZ
298,PT Cruiser,EP74MCJ
299,Model S,OU81EPX
300,Element,NH25CRK
301,Mustang,KY26QVT
302,Ranchero,EG47ZGS
303,Wrangler,ZQ61VJF
304,Durango,QC21LZT
305,LeBaron,PE23CCR
306,Element,SH90LYZ
307,Expedition,OG67CRA
308,Grand Cherokee,OF19AMY
309,Golf,NL31XPJ
310,Mercielago,EK28FQJ
311,Golf,UQ99HXH
312,Model S,DZ29DMG
313,Camaro,JO68FJV
314,Model Y,PP41VND
315,CTS,EA08FZJ
316,Mustang,LB28ZCS
317,Fortwo,QH67XEA
318,Fortwo,CQ44MPR
319,Mustang,UA74IWK
320,Model 3,JX32YOE
321,Impala,VY16HAA
322,Model S,ZB11ORK
323,911,NM70ABJ
324,Grand Cherokee,JY74PQS
325,Cruze,RT74IKB
326,XTS,YF85MEG
327,Land Cruiser,GE57BTB
328,Prius,FL58WNH
329,Grand Caravan,NK45SZT
330,Impala,NB06HLD
331,Jetta,QK32VNC
332,XC90,DK15LRG
333,Element,EZ88XAV
334,Camaro,TG33RQM
335,Ranchero,LJ00JHD
336,A8,YK02HWK
337,Challenger,AZ75TYU
338,El Camino,FJ22UJK
339,CX-9,NV42GPX
340,ATS,PS26COE
341,Silverado,SG84QZF
342,Silverado,JX16EDA
343,Model 3,VT35KVY
344,Mercielago,IA93WJA
345,Grand Cherokee,RO10LDP
346,Colorado,DO40JLB
347,CX-9,ZL41OIW
348,Wrangler,OS04LVF
349,PT Cruiser,MR42BBV
350,Cruze,FW78QIL
351,Model S,JB07OOE
352,Element,LR60OOI
353,Silverado,NF58KFJ
354,Altima,WV89KFO
355,Silverado,UL46VKH
356,El Camino,VS86EFD
357,Countach,TE47OKF
358,Beetle,CF84ZBI
359,Civic,BD70LCC
360,Model S,EV92HZC
361,Cruze,CH38NLS
362,2,DW89UGV
363,Grand Caravan,TR44WKD
364,Corvette,QE45PGG
365,Roadster,XU12HXN
366,PT Cruiser,UH26PTN
367,Model S,YI41XWB
368,Roadster,LE06XCW
369,Sentra,KE75JOC
370,Roadster,BI49HAF
371,A4,AR20HRF
372,A4,GF99BOH
373,Ranchero,VT74OTP
374,CTS,KL56GUJ
375,Colorado,HY45SIJ
376,Roadster,AS61AOE
377,XTS,EI82APH
378,Fiesta,BO23OPW
379,Jetta,JB62ADD
380,2,NK87TTJ
381,A4,BM98ZYV
382,CX-9,CB27OXM
383,F-150,HO85ZBV
384,Element,ZV46AGV
385,Volt,NY32WSA
386,Ranchero,EZ06CHX
387,Impala,WP26CEG
388,Spyder,SF91AVJ
389,Expedition,NT96NDC
390,Ranchero,YS65BIV
391,Aventador,RX52WUJ
392,Countach,KW38RSZ
393,1,CY48COF
394,Fortwo,GC87HRA
395,Volt,AZ03CUO
396,Impala,TF64NNC
397,1,LG53CMW
398,Colorado,VN44RJM
399,Ranchero,AB23FUJ
400,1,NS00CBJ
401,Beetle,SG69IAT
402,Silverado,VG46ZAN
403,Countach,AJ95EWN
404,2,XU79TQJ
405,Explorer,IH76DWB
406,2,FX76XAR
407,Golf,AY60IUZ
408,Roadster,EZ42AYB
409,A8,AF58OSV
410,Wrangler,DG13ZPG
411,Mustang,RI16DLA
412,PT Cruiser,ZV71PUU
413,Jetta,XN00CPD
414,Model S,RP81GVP
415,Fortwo,EQ98YZR
416,Challenger,BE98SDB
417,ATS,BT31VCB
418,Element,LM05FEO
419,Golf,OQ95ZLI
420,Impala,MY00DZX
421,Taurus,XG90SUV
422,Golf,MC97FII
423,Model 3,PY58MCS
424,Escalade,YZ02JZP
425,Golf,WX17KGH
426,Accord,IJ23OFH
427,A4,ZZ13XOW
428,1,KR14TOF
429,Roadster,QI99MEY
430,Model T,TH04DOC
431,Silverado,BW66WKB
432,XTS,HZ03DKS
433,Mustang,NG55ACP
434,XC90,FL04ZZQ
435,Spyder,HG31WAQ
436,Wrangler,IN25KUJ
437,Civic,UH07SMX
438,Jetta,SX45ZAT
439,Focus,UV67TVX
440,911,FU74AMG
441,911,TY03FSW
442,Colorado,NC49CXU
443,Wrangler,WE69RVE
444,Mustang,ZW43GTN
445,Altima,QZ32XOG
446,Model 3,KZ64SST
447,F-150,JV37ULO
448,LeBaron,RJ81FAB
449,Element,UR45EVN
450,Accord,EY89UTB
451,XC90,XB60UBD
452,Malibu,KQ23XTQ
453,LeBaron,AU22SUB
454,Grand Caravan,ZA95NDO
455,Escalade,FJ78HOF
456,Model 3,AQ04UKM
457,Aventador,WF32LPO
458,Taurus,TQ65EJR
459,Focus,AH34MQP
460,XTS,VE49OBY
461,Silverado,RB93SRC
462,Malibu,PM06MLX
463,Ranchero,SO78HYB
464,Charger,GY02DZO
465,Explorer,BL48ZRK
466,Golf,RW99BGP
467,Taurus,IO51WEF
468,Model Y,BH77EBQ
469,V90,BP54CJG
470,Camaro,WK32ICQ
471,Prius,ZV09YOJ
472,Explorer,SM57HUM
473,Taurus,HS10OMA
474,A4,RT98IOD
475,2,GW49YVF
476,Volt,CG72BRY
477,Aventador,FX70RTN
478,Fortwo,BL34HSN
479,Prius,YE67VLT
480,Charger,DH41NYS
481,Impala,UY27HTA
482,Challenger,IS19RAW
483,Colorado,JD61EPI
484,Grand Cherokee,CO66XSJ
485,El Camino,JI05VKR
486,2,MS31JBM
487,Malibu,EX07DSW
488,Mercielago,QO28SMM
489,Countach,GH25OPZ
490,CX-9,QG70FFF
491,CX-9,SI41SZI
492,CTS,JV58MXT
493,LeBaron,GY59QJG
494,Volt,NR58EDK
495,Accord,XA17SZA
496,ATS,DG66JLZ
497,Malibu,OA19INJ
498,LeBaron,CI94XRF
499,2,JM08TMF
500,Spyder,MC79LHW
501,Model S,HZ06ALF
502,Civic,OR76ULQ
